DLG4	SEMA4F
DLG4	HGS
DLG4	FZD4
DLG4	AKAP5
DLG4	SHANK1
DLG4	KIF1B
DLG4	ERBB2IP
DLG4	LRRC1
DLG4	BEGAIN
DLG4	CNKSR2
DLG4	NLGN1
DLG4	SEMA4C
DLG4	NLGN2
DLG4	GDA
DLG4	KCNA5
DLG4	KCNJ12
DLG4	KCND2
DLG4	DLGAP2
DLG4	DLGAP1
DLG4	CIT
DLG4	GRIN3A
DLG4	GRIN3B
DLG4	KIF13B
DLG4	ZDHHC17
DLG4	LIN7B
DLG4	NDOR1
DLG4	ACCN3
DLG4	SIPA1L1
DLG4	-
DLG4	GRIN1
DLG4	SYNGAP1
DLG4	DLGAP4
DLG4	GRASP
DLG4	TANC1
DLG4	HTT
DLG4	EFNB2
DLG4	CD46
DLG4	FZD2
DLG4	FZD7
DLG4	WNT3A
DLG4	GNG13
DLG4	SCN5A
DLG4	MAPK12
DLG4	GLS2
DLG4	KCNA1
DLG4	KCNA2
DLG4	KCNA3
DLG4	GRIN2B
DLG4	GRIK2
DLG4	CRIPT
DLG4	CACNG2
DLG4	KCNA4
DLG4	GRIN2A
DLG4	LRP8
DLG4	LRFN1
DLG4	SEMA4B
DLG4	SEMA4G
DLG4	SRC
DLG4	NCKIPSD
DLG4	FYN
DLG4	GRIK1
DLG4	GRIN2C
DLG4	NOS1
PIK3R2	KIT
PIK3R2	CBL
PIK3R2	TGFBR1
PIK3R2	GRB2
PIK3R2	AXL
PIK3R2	SHC1
PIK3R2	CRKL
PIK3R2	PIK3CD
PIK3R2	SOCS6
PIK3R2	EGFR
PIK3R2	PDGFRB
PIK3R2	CD28
PIK3R2	IGF1R
PIK3R2	WASF3
PIK3R2	EPHA2
PIK3R2	FGFR1
PIK3R2	SOS1
PIK3R2	TGFBR2
PIK3R2	IRS2
PIK3R2	SOCS7
PIK3R2	YWHAB
PIK3R2	SOCS1
PIK3R2	SYK
PIK3R2	ERBB3
PIK3R2	ERBB4
PIK3R2	SEPT2
PIK3R2	EGF
PIK3R2	FYN
PIK3R2	HCK
PIK3R2	IRS1
PIK3R2	CSF1R
PTPN18	ABL1
PTPN18	SRC
PTPN18	TEC
PTPN18	ARHGAP5
PTPN18	GAB1
PTPN18	PSTPIP1
PTPN18	PSTPIP2
PTPN18	CSK
ERBB2IP	CDH1
ERBB2IP	CTNND1
ERBB2IP	DST
